N=1, N=2, N=10, N=100
0.137473, 1.53926, 1.46019, 0.853128
0.410064, 0.953978, 1.26815, 1.02592
1.52463, 0.824767, 1.47455, 0.945445
0.9658, 0.320596, 1.0558, 1.09583
0.915046, 1.72206, 0.481636, 0.934524
0.10489, 0.727268, 1.41106, 1.0402
1.16213, 1.50098, 1.18318, 1.17221
0.260431, 0.536553, 0.847973, 0.934834
3.82592, 0.513344, 1.27074, 1.04554
0.0587361, 1.03151, 0.626182, 0.866047
0.701252, 0.813458, 1.3412, 1.05112
0.327765, 2.33967, 1.28791, 0.986712
3.43084, 0.23674, 1.3773, 0.987136
0.0973942, 0.534908, 0.689019, 0.816765
0.00527212, 2.55478, 1.90205, 1.03055
0.197467, 0.550052, 0.725282, 0.898596
0.51254, 0.875307, 0.894091, 0.974201
0.748713, 1.05305, 1.00107, 1.15936
0.0895952, 1.15256, 1.70355, 0.973741
0.169249, 1.50783, 0.561299, 1.00715
0.394697, 0.440282, 0.663028, 0.987868
0.304539, 1.07905, 0.896416, 1.07719
1.19958, 0.787308, 0.450551, 1.04156
0.804958, 0.432693, 1.10453, 1.05703
1.83416, 1.84825, 0.833405, 1.06959
0.981476, 0.34104, 0.786996, 1.14398
2.15211, 1.3223, 1.66385, 1.11568
1.01136, 1.15789, 1.36033, 1.1282
0.53848, 1.26089, 0.783507, 1.01121
0.432371, 1.2637, 0.480827, 1.11995
0.319667, 2.08409, 0.727255, 1.09908
0.68057, 0.361011, 2.09162, 0.844336
2.19405, 0.50161, 1.00093, 1.00334
0.559981, 2.36308, 0.729363, 1.22795
1.26632, 2.27171, 1.21305, 1.02642
0.0282591, 1.45966, 0.955192, 0.938321
0.236545, 0.306832, 0.641112, 1.07548
0.670565, 0.886946, 0.696228, 0.880834
0.328446, 1.39381, 1.23818, 1.10703
0.268723, 0.474839, 0.970321, 0.970652
0.697936, 0.16416, 1.38778, 1.01436
0.806918, 0.662538, 1.29871, 0.974013
0.0754492, 2.93116, 1.17735, 0.919466
2.312, 0.753172, 0.737378, 0.923237
0.530523, 0.923067, 1.3479, 1.04675
0.0930349, 4.02942, 0.780943, 1.01652
0.574707, 0.619459, 0.917429, 1.13298
0.910154, 0.350602, 0.848695, 0.997295
0.398871, 0.684306, 0.45462, 0.917557
0.119949, 2.845, 1.15372, 0.873792
0.607596, 1.48219, 0.822143, 1.09224
0.294823, 0.393983, 0.811295, 1.11137
0.083851, 0.0565327, 0.949452, 1.06225
1.95119, 0.255887, 0.806431, 1.01905
0.559704, 1.11943, 1.08255, 1.07305
0.518674, 0.0352113, 0.712373, 1.04998
0.253402, 1.51642, 1.10979, 0.881418
0.0822116, 0.370868, 1.10317, 0.928897
1.65043, 0.89627, 0.953953, 1.00487
0.157191, 0.679595, 1.05248, 1.13255
0.683446, 0.269821, 0.581481, 0.935441
0.157745, 0.461168, 0.609504, 0.733323
0.275664, 2.93763, 0.802822, 0.971677
0.953219, 0.651171, 1.2429, 1.08791
0.0757495, 0.59059, 1.11797, 1.04926
1.60281, 0.571638, 0.814834, 0.912529
0.573197, 1.74329, 0.874981, 0.837104
0.991956, 0.0890867, 0.74507, 0.910864
0.910264, 0.504927, 0.830585, 0.981024
1.32997, 0.523036, 0.872956, 1.19876
3.54121, 0.146595, 1.05911, 1.01011
1.61636, 0.256416, 0.891833, 1.05937
8.30298e-05, 0.806984, 0.845227, 0.934039
1.14312, 0.221246, 0.610957, 0.948996
2.9286, 1.59654, 1.55122, 0.929103
2.83853, 0.143855, 1.11557, 1.03802
0.846311, 1.46616, 0.477828, 1.03986
0.41296, 0.681549, 0.569081, 1.08288
0.7193, 0.626197, 1.2579, 1.05781
0.431721, 0.250355, 0.753329, 1.01136
3.05025, 2.62374, 1.12385, 0.947505
1.0731, 0.636254, 0.930591, 0.938617
0.143666, 0.964414, 0.892246, 0.925004
1.03356, 1.17098, 0.97669, 0.992558
0.250391, 0.144261, 1.73717, 0.96051
0.82612, 1.56112, 1.32506, 0.972261
0.612133, 0.845956, 0.785394, 0.770306
0.243929, 0.479764, 0.645855, 1.37954
0.696436, 0.720853, 0.573066, 1.12733
2.50348, 0.93406, 1.07524, 1.09964
1.06497, 1.71697, 0.61628, 0.821773
0.179135, 1.54622, 1.1661, 1.16753
2.29695, 1.06026, 1.55254, 0.995735
2.45258, 1.29069, 1.08864, 0.926985
2.339, 2.62091, 1.08808, 0.957558
0.54147, 0.546327, 1.08416, 1.07464
0.646435, 0.627911, 1.20782, 1.17602
0.979094, 1.19935, 1.35365, 0.908695
1.06338, 1.60859, 1.64364, 0.941604
0.931861, 0.424616, 2.00124, 0.876587
1.20011, 2.18833, 0.595004, 1.22368
0.725937, 0.211385, 0.714579, 1.19013
1.10261, 1.15595, 1.01891, 1.19123
0.862718, 1.73276, 0.781957, 0.863511
1.48217, 2.05565, 1.11581, 1.12907
1.84031, 0.490415, 1.05321, 0.948422
0.317201, 0.719537, 1.15044, 0.946111
0.0202171, 1.1844, 0.524056, 0.980913
0.948346, 0.542107, 1.03611, 1.03841
1.0452, 1.35482, 0.978162, 1.05953
1.01283, 0.546297, 1.86373, 1.15444
1.3875, 1.08727, 1.02448, 0.960536
0.416425, 0.518882, 0.787468, 0.993798
1.34424, 0.836184, 0.622151, 0.904149
0.190444, 0.0407366, 0.98088, 0.93334
0.491596, 1.00016, 1.1932, 0.886143
0.220758, 0.455553, 0.692762, 1.00033
3.17746, 0.712141, 1.02685, 1.12436
1.05341, 0.467293, 1.63587, 0.90657
0.784232, 1.00928, 1.06034, 0.997075
2.69806, 0.227133, 0.821807, 0.964801
0.33398, 1.10995, 0.908523, 0.742183
2.18981, 0.916222, 0.478472, 1.05904
0.752364, 1.37466, 0.625083, 1.19719
0.130112, 0.384613, 0.921931, 1.10574
0.280571, 1.17979, 1.17385, 0.88419
0.599825, 0.241106, 0.964664, 0.976981
0.115365, 0.753233, 1.18585, 0.964449
1.41349, 1.44493, 1.00768, 1.03146
0.0836175, 0.767475, 0.797226, 0.881351
1.63235, 0.782411, 1.32029, 1.0558
1.69742, 0.47857, 1.06388, 1.00459
1.22435, 0.339945, 0.709575, 0.864876
0.0808845, 0.9537, 1.05262, 0.922127
1.33971, 0.798431, 0.732479, 1.02508
2.95988, 4.37423, 0.912218, 0.989151
0.966732, 0.449302, 1.22506, 1.05826
1.675, 2.05628, 0.815404, 1.06776
0.238795, 0.0931942, 0.686991, 0.958386
0.198457, 0.399034, 0.878716, 1.12438
0.333157, 0.204049, 0.434964, 0.988791
0.224425, 0.441567, 1.1426, 1.08907
0.529372, 2.38931, 0.856769, 1.02116
1.15788, 0.240872, 1.23198, 0.826918
0.855401, 1.61566, 1.02154, 1.12055
1.64037, 0.582026, 1.36656, 1.11536
1.26799, 0.0887908, 0.94571, 0.914062
0.173102, 0.843255, 1.12336, 1.13506
1.62611, 0.408814, 0.680662, 0.94316
1.04464, 1.63281, 1.13668, 0.966917
0.593377, 0.732721, 1.36578, 1.05699
3.21774, 0.963856, 0.757096, 0.83228
0.551106, 3.00771, 1.07612, 1.26617
0.987598, 1.27582, 1.04544, 1.07186
1.44926, 0.972748, 1.31538, 1.11634
5.84898, 0.903577, 1.26594, 0.873258
1.16122, 1.07161, 0.633364, 0.982255
1.66703, 1.00017, 0.667191, 1.02742
1.46433, 0.256749, 1.6502, 1.05672
0.510719, 0.581957, 1.01158, 0.842432
1.2289, 2.17615, 0.793733, 1.11275
0.44712, 0.596062, 0.693445, 0.874319
1.6387, 0.840813, 1.22733, 1.10087
1.17824, 0.217465, 1.22393, 1.19819
0.572572, 1.90753, 0.849326, 1.04689
0.374815, 0.816091, 1.08807, 1.31139
1.28135, 0.537286, 1.31883, 0.841267
0.34846, 3.01301, 0.622994, 1.09955
0.0469205, 2.42279, 0.719938, 1.03688
0.226402, 0.500014, 0.811612, 0.863279
3.27175, 0.269898, 0.862121, 0.986124
1.31366, 1.74382, 1.69869, 1.07097
2.81199, 0.678614, 0.941559, 0.943673
0.617299, 1.16759, 1.08363, 1.13174
0.809849, 0.370742, 0.849702, 1.03261
4.8069, 0.791396, 0.59788, 1.21061
1.81558, 1.13622, 0.711841, 0.874403
0.465098, 0.562878, 0.983073, 0.970632
1.17811, 0.902918, 1.70685, 0.878212
1.77391, 0.23989, 0.622809, 1.15561
1.61221, 0.455472, 0.698566, 1.05862
0.367383, 1.6675, 0.891022, 1.07071
0.546034, 1.47333, 1.08218, 1.01628
0.413358, 1.0359, 0.522254, 1.03972
0.561382, 0.958587, 1.21684, 0.951739
3.11008, 1.58349, 0.844616, 0.984137
0.149869, 0.978788, 1.08569, 0.857996
0.532694, 0.475732, 0.852795, 0.938074
0.369114, 0.940912, 1.12285, 1.05288
2.14687, 0.0555991, 0.953677, 1.03963
0.0830066, 0.338329, 0.716745, 0.81544
0.727793, 0.87106, 1.28989, 1.05665
2.37327, 0.82219, 0.805747, 1.15843
0.341212, 1.26642, 1.26113, 0.862204
0.533649, 0.645293, 1.07695, 1.20631
1.52812, 1.86488, 0.643953, 0.921654
3.22147, 0.799834, 1.10255, 1.05349
0.0436382, 1.1441, 0.769051, 1.11958
0.683839, 0.512669, 0.78216, 1.03664
0.776099, 0.386947, 1.15717, 0.995942
0.92808, 0.964905, 0.965863, 0.94849
1.32316, 1.38041, 0.775808, 1.33499
0.0798134, 0.411427, 0.910648, 1.05342
4.55343, 0.891605, 1.40989, 1.0842
0.884402, 1.46479, 0.609638, 1.00679
0.781509, 1.44162, 0.603282, 1.05984
0.0207154, 0.541408, 1.2193, 1.04308
0.414832, 0.877766, 0.428355, 0.846165
0.474423, 0.26661, 1.35992, 1.00251
0.344959, 0.992047, 1.08589, 1.12108
0.801276, 0.332296, 1.13807, 0.872977
0.255695, 0.738777, 1.00118, 1.05623
0.367056, 0.144982, 0.860565, 1.00388
0.598053, 3.22186, 0.819989, 1.05334
1.55005, 0.350038, 1.16068, 1.07136
2.34927, 3.1085, 0.507289, 0.957009
0.666382, 0.541047, 0.683557, 0.87249
0.526516, 0.278772, 1.02344, 0.883997
0.0761105, 1.75482, 0.78151, 0.815089
0.31595, 1.60785, 0.361882, 0.946384
0.81923, 0.688165, 1.08664, 0.866914
1.61204, 0.944994, 1.11485, 1.16236
0.331167, 0.455422, 0.934219, 1.1295
0.258077, 2.88593, 1.26933, 1.17248
1.40618, 1.05253, 0.708046, 1.1781
0.723282, 2.19564, 0.665465, 0.969369
0.144411, 0.697373, 0.975949, 1.10708
3.1081, 0.448069, 1.02994, 1.03485
0.678766, 1.42556, 0.868661, 0.873202
0.723509, 2.70992, 0.460221, 1.11136
2.04007, 2.13138, 1.04423, 0.991721
3.35813, 0.393072, 1.16882, 1.09039
0.465512, 0.345144, 0.923995, 0.943986
0.458551, 0.093046, 1.20074, 1.12105
0.136294, 1.65518, 1.40549, 0.969377
2.47262, 0.721637, 0.480559, 0.952425
2.56684, 1.17821, 0.930119, 0.923888
0.0423803, 1.04397, 0.911963, 0.894844
0.35792, 0.30129, 1.02729, 1.05766
1.05537, 1.40549, 1.7553, 1.05438
0.456085, 0.117234, 0.885776, 1.08471
0.134379, 0.7286, 1.01509, 0.826239
0.121323, 0.127126, 1.10068, 0.918089
0.0112015, 1.10974, 0.720832, 1.01687
2.75319, 1.84225, 0.844251, 1.19155
2.34818, 1.48678, 0.938113, 0.951435
1.9716, 1.08863, 0.834523, 0.932876
0.064409, 0.716873, 0.768997, 1.0667
0.474075, 0.659641, 0.970651, 1.1169
0.201916, 1.92695, 1.05324, 0.937731
0.328627, 0.587262, 0.720926, 1.01597
1.13593, 1.60941, 0.939654, 1.03406
0.0436606, 0.695626, 0.913962, 1.0054
0.525256, 1.93347, 0.717506, 1.04107
3.98813, 0.271443, 0.886763, 1.02802
2.21922, 0.38901, 1.17115, 0.973436
2.21358, 1.44777, 0.95172, 0.932432
0.347355, 0.882169, 0.861102, 1.1186
1.24985, 0.850294, 0.780388, 1.08968
0.265685, 3.32926, 1.09078, 0.910128
0.768004, 0.275251, 1.35674, 1.09527
0.113833, 0.686272, 1.28378, 1.06192
1.04378, 2.88249, 1.33173, 0.964162
0.351013, 0.294899, 1.64122, 1.00689
0.80801, 2.77768, 1.16795, 1.01921
0.307902, 1.17885, 0.744027, 1.09014
1.11882, 0.0687419, 0.719728, 0.961033
1.05577, 1.21967, 0.726966, 1.05871
0.501573, 0.756725, 2.00478, 1.02935
0.391899, 0.504007, 0.862896, 0.841146
2.7658, 0.231307, 0.744271, 0.995042
0.0427044, 0.700949, 0.901396, 1.04518
0.985336, 0.541854, 0.867094, 0.992521
0.888652, 0.780392, 1.27993, 1.02818
0.611592, 0.620965, 0.716304, 0.994007
1.34392, 0.238988, 0.913235, 0.998441
1.18921, 2.13277, 1.3029, 0.999194
9.06558, 1.2521, 0.717571, 1.14286
0.589176, 1.64189, 0.635198, 1.0074
5.56863, 1.55844, 1.25763, 1.17196
2.69006, 0.874109, 0.982111, 1.17086
1.48431, 0.554158, 0.986059, 0.995007
0.477049, 0.776632, 1.15893, 0.902861
1.27097, 0.441566, 0.952276, 0.959792
0.0811422, 0.899401, 0.606452, 0.90282
0.604728, 0.798673, 1.1022, 1.12542
0.248404, 1.99181, 1.59163, 1.18233
0.768814, 0.250959, 0.808547, 0.971545
4.95911, 0.934533, 0.831363, 1.00685
1.92939, 0.413378, 0.868734, 0.955715
0.211615, 2.45328, 0.784718, 0.979723
0.345283, 1.92353, 1.01032, 1.07179
0.3333, 0.294393, 0.860039, 1.10701
0.284371, 0.331463, 1.05774, 1.0848
0.121902, 2.27258, 1.2597, 0.96434
0.0675553, 0.743152, 0.907141, 1.0666
0.257425, 2.79962, 0.553249, 1.00129
0.865218, 1.36744, 1.24216, 0.910181
0.810077, 0.656759, 1.40525, 1.09021
3.17558, 0.457549, 0.915407, 1.03932
0.295061, 0.748234, 0.733821, 0.99303
0.32621, 0.761193, 0.957154, 0.866761
0.245845, 0.709537, 0.80464, 0.994744
0.319659, 2.93962, 1.00891, 1.00822
0.293459, 2.40773, 1.67458, 1.02168
0.0898846, 0.00898432, 0.673675, 0.959355
2.14231, 1.23277, 1.21307, 1.03791
0.0400369, 0.361453, 0.70081, 0.975806
1.03541, 2.28215, 0.961426, 1.00023
0.624939, 0.536366, 0.9635, 1.0672
0.202112, 1.36887, 0.83611, 1.12578
0.0446547, 1.01638, 0.851183, 0.911311
0.610559, 0.148715, 0.547142, 1.07195
0.845055, 0.709864, 1.01392, 0.858244
3.76492, 1.19712, 1.35594, 1.03574
0.234805, 0.662932, 1.50186, 1.10294
2.19607, 0.884309, 1.30161, 1.07922
2.81871, 0.712757, 1.12588, 0.990004
2.28312, 1.54399, 1.56354, 0.988122
3.14726, 0.267766, 0.661904, 1.05265
3.32435, 0.390101, 1.45141, 0.915261
0.440507, 0.738999, 0.776585, 1.08364
0.7534, 1.34784, 1.55707, 0.919797
0.909269, 0.367404, 1.35067, 0.901287
0.329422, 0.577016, 0.948458, 0.780211
0.773235, 0.749295, 1.00634, 0.973826
3.98548, 1.00029, 0.758328, 0.99798
0.286527, 1.13767, 1.26149, 1.03639
0.235078, 1.33795, 0.88311, 0.908543
0.092458, 0.129438, 1.00652, 1.05168
0.711046, 1.2295, 0.872123, 1.07579
0.786136, 0.356868, 1.13242, 1.07999
1.02042, 0.830517, 0.755103, 0.96541
0.746116, 1.26225, 0.684005, 1.15701
0.0793139, 1.76272, 1.11796, 1.02861
1.38059, 0.984865, 0.916559, 0.905132
0.122795, 1.42408, 0.90034, 1.10912
0.406317, 0.625852, 0.854103, 0.911298
3.07753, 0.734524, 0.763977, 1.02271
